PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P03210,Karapakkam,1004,04-05-2011,131,1,1,3,AbNormal,Yes,15-05-1967,Commercial,AllPub,Paved,A,4,3.9,4.9,4.33,380000,144400,7600000
P09411,Anna Nagar,1986,19-12-2006,26,2,1,5,AbNormal,No,22-12-1995,Commercial,AllPub,Gravel,RH,4.9,4.2,2.5,3.765,760122,304049,21717770
P01812,Adyar,909,04-02-2012,70,1,1,3,AbNormal,Yes,09-02-1992,Commercial,ELO,Gravel,RL,4.1,3.8,2.2,3.09,421094,92114,13159200
P05346,Velachery,1855,13-03-2010,14,3,2,5,Family,No,18-03-1988,Others,NoSewr ,Paved,I,4.7,3.9,3.6,4.01,356321,77042,9630290
P06210,Karapakkam,1226,05-10-2009,84,1,1,3,AbNormal,Yes,13-10-1979,Others,AllPub,Gravel,C,3,2.5,4.1,3.29,237000,74063,7406250
P00219,Chrompet,1220,11-09-2014,36,2,1,4,Partial,No,12-09-2009,Commercial,NoSeWa,No Access,RH,4.5,2.6,3.1,3.32,409027,198316,12394750
P09105,Chrompet,1167,05-04-2007,137,1,1,3,Partial,No,12-04-1979,Other,AllPub,No Access,RL,3.6,2.1,2.5,2.67,263152,33955,8488790
P09679,Velachery,1847,13-03-2006,176,3,2,5,Family,No,15-03-1996,Commercial,AllPub,Gravel,RM,2.4,4.5,2.1,3.26,604809,235204,16800250
P03377,Chrompet,771,06-04-2011,175,1,1,2,AdjLand,No,14-04-1977,Others,NoSewr ,Paved,RM,2.9,3.7,4,3.55,257578,33236,8308970
P09623,Velachery,1635,22-06-2006,74,2,1,4,AbNormal,No,26-06-1991,Others,ELO,No Access,I,3.1,3.1,3.3,3.16,323346,121255,8083650
P09540,Chrompet,1203,19-10-2006,78,2,1,4,AdjLand,Yes,26-10-1978,Commercial,AllPub,No Access,RM,4,3.2,4.5,3.83,403326,119504,14938000
P07121,Chrompet,1054,16-02-2009,143,1,1,3,Partial,No,26-02-1972,Others,NoSewr ,Gravel,RM,2.2,3.1,3.3,2.89,245693,141746,9449730
P05512,Chrompet,1196,11-02-2010,137,1,1,3,Family,No,16-02-1991,Others,NoSewr ,No Access,RL,2.1,2.5,2.1,2.26,289554,35097,8774370
P09370,Adyar,1056,01-01-2007,83,1,1,3,Partial,Yes,07-01-1981,Others,NoSewr ,Paved,RH,2.2,3.4,3.7,3.19,319141,37546,9386490
P04085,Velachery,1865,11-11-2010,157,3,2,5,Family,No,24-11-1956,Commercial,NoSewr ,Paved,RM,4.8,2.2,4.9,3.66,619987,294494,15499680
P06328,Velachery,1868,12-09-2009,148,3,2,5,Family,No,14-09-2000,Commercial,NoSewr ,Gravel,RH,3.8,3.8,3.1,,597135,188569,15714080
P06039,Karapakkam,1639,04-11-2009,175,2,2,4,Normal Sale,Yes,09-11-1991,House,ELO,Gravel,I,2.3,3.2,4.8,3.57,285648,77904,8656000
P02016,Chrompet,796,25-12-2011,134,1,1,2,AdjLand,Yes,03-01-1975,Commercial,AllPub,No Access,RL,3.5,4.6,4.7,4.3,316464,130951,10912550
P08160,Adyar,1136,05-04-2008,69,1,1,3,Normal Sale,Yes,13-04-1978,Others,AllPub,Paved,A,4.6,2.6,2.9,3.35,323214,49725,8287550
P01372,Anna Nagar,1902,02-07-2012,168,2,1,5,Family,Yes,13-07-1970,Commercial,ELO,Paved,RL,4.5,4.9,4.9,4.76,742113,212032,21203240
P00936,Chrompet,1069,19-04-2013,53,1,1,3,AbNormal,Yes,20-04-2009,Others,NoSewr ,Paved,RM,2.8,2.7,4.9,3.39,283544,43622,10905530
P07346,Chrompet,931,13-12-2008,96,1,1,3,AbNormal,Yes,19-12-1986,Others,ELO,Paved,RL,4.2,3.1,3.1,3.43,248021,27558,9185970
P06851,KK Nagar,2010,06-05-2009,114,3,2,5,Partial,No,09-05-1999,Others,NoSewr ,Gravel,RH,3.4,4.5,3.4,3.73,327762,262210,10925400
P04665,Chrompet,1074,23-07-2010,100,1,1,3,AbNormal,No,27-07-1994,Others,NoSewr ,Gravel,RL,3,3.4,4.9,3.73,288821,86646,9627380
P00902,TNagar,1972,13-05-2013,111,2,1,5,AdjLand,No,14-05-2008,Others,NoSewr ,No Access,RH,4.1,4.4,2.8,3.59,487297,167073,13922760
P00293,T Nagar,1685,19-07-2014,105,1,1,4,Family,No,27-07-1980,House,NoSewr ,Gravel,RM,2.8,4.4,4,3.74,352830,176415,12601080
P02235,Adyar,1130,10-11-2011,29,1,1,3,Family,Yes,17-11-1981,Commercial,ELO,Paved,RH,2.3,2.5,2.2,2.29,468417,53533,13383350
P04080,Karapakkam,1301,12-11-2010,59,1,1,3,Normal Sale,Yes,14-11-2003,Others,NoSewr ,Gravel,C,2.8,2.7,3.8,3.17,357283,71457,7939625
P02677,Adyar,730,19-08-2011,185,1,1,2,AdjLand,Yes,28-08-1972,House,ELO,Gravel,RL,2.7,4.6,4.9,4.18,265449,53090,8848285
P00755,T Nagar,1806,18-08-2013,138,2,1,5,Family,No,27-08-1978,House,NoSeWa,Paved,RH,4.1,5,3,3.83,430852,113382,11338200
P06980,Anna Nagar,1981,01-04-2009,173,2,1,5,AdjLand,No,03-04-2000,House,ELO,No Access,RL,2,3.1,3.2,2.755,373300,218831,12872430
P02696,Adyar,868,15-08-2011,15,1,1,3,Normal Sale,No,17-08-2001,Others,NoSeWa,Gravel,RL,2.3,2.1,2,2.11,325514,72336,9042050
P01517,T Nagar,1721,26-03-2012,117,1,1,4,AdjLand,Yes,31-03-1992,Others,ELO,Paved,RM,2,2.8,2.9,2.605,416483,223116,14874380
P09650,Velachery,1755,28-04-2006,16,2,1,4,AdjLand,Yes,03-05-1987,Others,AllPub,Gravel,A,4.8,4.5,4.5,4.58,306671,173780,10222380
P05950,Anna Nagar,1709,22-11-2009,130,1,1,4,Family,No,24-11-2003,Others,NoSeWa,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,12928590
P05051,KK Nagar,2114,09-05-2010,46,3,2,5,AdjLand,Yes,14-05-1989,Commercial,NoSeWa,Gravel,RH,2.7,3,3.9,3.27,632334,281037,17564820
P04978,Karapakkam,1226,23-05-2010,180,1,1,3,Normal Sale,No,30-05-1983,House,AllPub,Paved,A,4,3.7,4.7,4.19,154109,114339,4971250
P03704,Velachery,1648,28-01-2011,111,2,1,4,Family,Yes,31-01-1998,Others,NoSeWa,Paved,C,4.3,2.9,2,2.98,275120,82536,9170660
P02247,Chrompet,856,07-11-2011,36,1,1,3,AdjLand,Yes,13-11-1985,Others,NoSewr ,Gravel,RM,2.1,3.6,3.5,3.12,332269,103834,10383420
P07194,Adyar,904,24-01-2009,52,1,1,3,AdjLand,No,03-02-1969,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,11601400
P01107,Chrompet,1198,21-12-2012,105,1,1,3,Normal Sale,No,30-12-1976,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,8249260
P02442,Karapakkam,931,03-10-2011,16,1,1,3,AdjLand,No,07-10-1993,Commercial,AllPub,Paved,A,4,4.2,2.4,3.42,291669,166668,6944500
P06444,Karapakkam,1290,18-08-2009,86,1,1,3,AdjLand,Yes,30-08-1961,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,364015,92940,7745000
P05298,Karapakkam,507,23-03-2010,49,1,1,2,AbNormal,Yes,03-04-1964,House,ELO,Gravel,RH,2.6,4.6,4.6,4,252032,74464,5728000
P05882,KK Nagar,2492,06-12-2009,113,4,2,6,Ab Normal,No,10-12-1993,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,18725520
P02558,Karapakkam,851,11-09-2011,105,1,1,2,Partial,No,18-09-1982,House,AllPub,No Access,C,4,3.8,2.5,3.34,167896,39295,3572250
P09483,T Nagar,1882,18-11-2006,189,2,1,5,AbNormal,Yes,23-11-1985,Others,ELO,Gravel,RM,3.9,4.5,4.7,,433393,272877,16051580
P06006,Anna Nagar,1710,12-11-2009,15,1,1,4,Normal Sale,Yes,15-11-1998,Commercial,AllPub,Gravel,RH,2.7,4,2.2,2.825,808639,161728,20215970
P04106,Karapakkam,1412,06-11-2010,28,2,2,4,AdjLand,No,13-11-1982,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,8379000
P09556,Adyar,779,12-10-2006,51,1,1,2,Normal Sale,No,14-10-1997,House,NoSewr ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,5290635
P00389,T Nagar,1655,21-05-2014,19,1,1,4,AbNormal,No,29-05-1980,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,12548930
P05245,Karapakkam,940,03-04-2010,167,1,1,3,AdjLand,No,15-04-1961,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,5857750
P01690,KK Nagar,1667,26-02-2012,126,2,1,4,Partial,Yes,27-02-2007,House,NoSeWa,Paved,RM,4.8,2.1,5,4.07,364810,268243,10729700
P07753,KK Nagar,1926,12-08-2008,49,3,2,5,Family,Yes,15-08-1999,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,816325,153061,17006780
P08611,Adyar,718,23-10-2007,75,1,1,2,Partial,Yes,30-10-1977,Others,ELO,No Access,C,2,3.9,3.4,3.08,211662,55701,5570050
P01934,Karapakkam,545,12-01-2012,154,1,1,2,Partial,No,19-01-1982,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,3854375
P06326,Karapakkam,1249,12-09-2009,25,1,1,3,AdjLand,Yes,21-09-1973,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,318010,120328,8594875
P00865,T Nagar,1894,08-06-2013,187,2,1,5,Partial,Yes,19-06-1968,House,NoSewr ,Gravel,RL,2,3.7,4.4,3.505,406478,162591,13549250
P02088,Karapakkam,1469,12-12-2011,200,2,2,4,AbNormal,No,13-12-2006,Commercial,NoSewr ,No Access,C,4.7,2,2.4,2.97,284423,132731,9480750
P07770,Adyar,916,08-08-2008,32,1,1,3,Normal Sale,Yes,15-08-1980,House,ELO,No Access,A,3.6,3,3.9,3.63,228053,23390,5847520
P08118,Chrompet,934,20-04-2008,11,1,1,3,AdjLand,Yes,26-04-1986,House,NoSeWa,Paved,RM,3.4,4,3.8,3.76,310749,58265,9710900
P03221,Karapakkam,1691,02-05-2011,100,2,2,4,AbNormal,No,09-05-1980,House,NoSeWa,Gravel,RM,4,3.9,3.5,3.77,319558,178576,9398750
P03273,Karapakkam,1236,21-04-2011,36,1,1,3,Normal Sale,No,30-04-1972,Commercial,NoSewr ,Paved,I,3.3,3.3,2,2.78,334638,114481,8806250
P08667,T Nagar,1577,28-09-2007,23,1,1,4,Partial,Yes,07-10-1971,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,302183,193397,12087330
P03791,Anna Nagar,1915,10-01-2011,13,2,1,5,Partial,Yes,20-01-1970,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,354391,170107,14175620
P01247,Anna Nagar,1600,30-09-2012,154,1,1,4,Family,Yes,06-10-1991,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,309941,166891,11920820
P02391,Velachery,1579,14-10-2011,58,2,1,4,AbNormal,Yes,20-10-1987,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,467766,240565,13364730
P07825,Adyar,1260,21-07-2008,89,2,2,4,Partial,No,28-07-1983,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,256150,34615,6922975
P05787,Adyar,1021,22-12-2009,176,1,1,3,Normal Sale,No,23-12-2004,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,361868,175098,11673175
P02285,KK Nagar,2174,31-10-2011,48,3,2,5,Family,Yes,05-11-1988,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,548929,313674,13069740
P05304,Anna Nagar,1589,22-03-2010,39,1,,4,Partial,No,02-04-1966,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,12212350
P05309,Adyar,668,21-03-2010,177,1,1,2,AbNormal,Yes,22-03-2005,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,329074,102836,10283575
